Overview
    The stonecutter is used to craft stone and copper related blocks in smaller and more precise quantities than crafting, and is more efficient than crafting for certain recipes. It also serves as a stone mason's job site block.

Obtaining
  Breaking
    A stonecutter can be mined using any pickaxe. If mined without a pickaxe, it drops nothing.

    Block,Stonecutter
    Hardness,3.5
    Tool,wooden pickaxe
    Breaking time (sec) [A]
    Default,17.5
    Wooden,2.65
    Stone,1.35
    Iron,0.9
    Diamond,0.7
    Netherite,0.6
    Golden,0.45

  Natural generation
    Stonecutters can generate inside stone mason houses in villages. They can also spawn in trail ruins.

  Crafting
    Ingredients,Crafting recipe,Description
    Iron Ingot + Stone,"[[None, None, None], [None, 'Iron Ingot', None], ['Stone', 'Stone', 'Stone']]","Can use stone only, no variants.‌ [ Java Edition only ]"
    Iron Ingot + Any Stone,"[[None, None, None], [None, 'Iron Ingot', None], ['Stone', 'Stone', 'Stone']]",Can use stone and its three other variants interchangeably.‌ [ Bedrock Edition only ]

Usage
  Cutting
    The stonecutter can be used as an alternative to the crafting table to craft most stone-related blocks. All of its recipes require just one ingredient and produce one product (in varying quantities). It allows skipping steps to craft certain blocks; for example, a stone block can be directly turned into chiseled stone bricks, but requires multiple steps with crafting. Stonecutting is also more efficient than crafting for certain recipes. Crafting stairs is more efficient with a stonecutter than a crafting table, as 6 full blocks are crafted into 4 stairs, while stonecutter yields 1 stair per full block. The recipe for cut copper is even more efficient: with stonecutting, 1 block of copper turns into 4 blocks of cut copper, allowing the amount of copper blocks to be quadrupled. The GUI contains a block selection menu that is empty. The menu is populated with blocks that can be crafted from that particular material, only if a block is inserted into its input.

    Name,Ingredients,Cutting recipe,Description
    Stone Stairs or Stone Slab or Stone Bricks or Stone Brick Stairs or Stone Brick Slab or Stone Brick Wall or Chiseled Stone Bricks,Stone,2 2,
    Cobblestone Stairs or Cobblestone Slab or Cobblestone Wall,Cobblestone,2,
    Mossy Cobblestone Stairs or Mossy Cobblestone Slab or Mossy Cobblestone Wall,Mossy Cobblestone,2,
    Smooth Stone Slab,Smooth Stone,2,
    Stone Brick Stairs or Stone Brick Slab or Stone Brick Wall,Stone Bricks,2,
    Chiseled Stone Bricks,Stone Bricks,,‌ [ Java Edition only ] [1]
    Mossy Stone Brick Stairs or Mossy Stone Brick Slab or Mossy Stone Brick Wall,Mossy Stone Bricks,2,
    Granite Stairs or Granite Slab or Granite Wall or Polished Granite or Polished Granite Stairs or Polished Granite Slab,Granite,2 2,
    Polished Granite Stairs or Polished Granite Slab,Polished Granite,2,
    Diorite Stairs or Diorite Slab or Diorite Wall or Polished Diorite or Polished Diorite Stairs or Polished Diorite Slab,Diorite,2 2,
    Polished Diorite Stairs or Polished Diorite Slab,Polished Diorite,2,
    Andesite Stairs or Andesite Slab or Andesite Wall or Polished Andesite or Polished Andesite Stairs or Polished Andesite Slab,Andesite,2 2,
    Polished Andesite Stairs or Polished Andesite Slab,Polished Andesite,2,
    Cobbled Deepslate Stairs or Cobbled Deepslate Slab or Cobbled Deepslate Wall or Chiseled Deepslate or Polished Deepslate or Polished Deepslate Stairs or Polished Deepslate Slab or Polished Deepslate Wall or Deepslate Bricks or Deepslate Brick Stairs or Deepslate Brick Slab or Deepslate Brick Wall or Deepslate Tiles or Deepslate Tile Stairs or Deepslate Tile Slab or Deepslate Tile Wall,Cobbled Deepslate,2 2 2 2,
    Polished Deepslate Stairs or Polished Deepslate Slab or Polished Deepslate Wall or Deepslate Bricks or Deepslate Brick Stairs or Deepslate Brick Slab or Deepslate Brick Wall or Deepslate Tiles or Deepslate Tile Stairs or Deepslate Tile Slab or Deepslate Tile Wall,Polished Deepslate,2 2 2,
    Deepslate Brick Stairs or Deepslate Brick Slab or Deepslate Brick Wall or Deepslate Tiles or Deepslate Tile Stairs or Deepslate Tile Slab or Deepslate Tile Wall,Deepslate Bricks,2 2,
    Deepslate Tile Stairs or Deepslate Tile Slab or Deepslate Tile Wall,Deepslate Tiles,2,
    Brick Stairs or Brick Slab or Brick Wall,Bricks,2,
